                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0294,                 6.4668,                 3.3019,                 1.3594,                0.72222,                   0.75,                0.81643,                0.73836,                0.72222,                   0.75,                0.81643,                0.67913,                0.44849,                 1.1053,                 2.2188,                0.99919,             0.00011669,             0.00011669,             0.00011669
                      2,                0.90454,                 1.6531,                 2.5687,                    1.3,                0.76667,                0.97903,                  0.945,                 0.8505,                0.76667,                0.97903,                  0.945,                  0.751,                0.50181,                0.73963,                 3.0831,                0.96376,              0.0002418,              0.0002418,              0.0002418
                      3,                0.77247,                0.77615,                 2.5383,                 1.1527,                0.86545,                   0.75,                0.76416,                0.50744,                0.86545,                   0.75,                0.76416,                0.48305,                 1.4148,                 1.6643,                 4.0464,                 1.5962,              0.0003581,              0.0003581,              0.0003581
                      4,                0.80528,                 0.6395,                 1.8187,                 1.1461,                0.44316,                      1,                0.95333,                0.78745,                0.44316,                      1,                0.95333,                 0.7791,                0.97072,                  1.103,                 9.8528,                  1.144,             0.00046561,             0.00046561,             0.00046561
                      5,                   1.12,                0.84091,                 2.8363,                 1.3376,                0.91738,                   0.75,                0.91167,                0.64849,                0.91738,                   0.75,                0.91167,                0.59874,                0.91614,                0.87836,                 3.3963,                 1.0739,             0.00056431,             0.00056431,             0.00056431
                      6,                0.68769,                 0.5429,                 2.1188,                 1.0051,                0.91738,                   0.75,                0.91167,                0.64849,                0.91738,                   0.75,                0.91167,                0.59874,                0.91614,                0.87836,                 3.3963,                 1.0739,             0.00065421,             0.00065421,             0.00065421
                      7,                0.97603,                0.83674,                 3.4908,                 1.1873,                0.21759,                      1,                 0.8575,                0.48204,                0.21759,                      1,                 0.8575,                0.38889,                 1.1074,                0.61073,                  40.79,                 1.5419,             0.00073531,             0.00073531,             0.00073531
                      8,                 1.5002,                0.71362,                 8.3408,                  1.837,                0.21759,                      1,                 0.8575,                0.48204,                0.21759,                      1,                 0.8575,                0.38889,                 1.1074,                0.61073,                  40.79,                 1.5419,             0.00080761,             0.00080761,             0.00080761
                      9,                 1.4015,                  0.608,                 9.8232,                 1.6867,                0.21759,                      1,                 0.8575,                0.48204,                0.21759,                      1,                 0.8575,                0.38889,                 1.1074,                0.61073,                  40.79,                 1.5419,             0.00087111,             0.00087111,             0.00087111
                     10,                 1.2779,                0.67222,                  5.937,                 1.4604,                0.46711,                    0.5,                0.49902,                0.44862,                0.00308,                  0.125,                0.00266,                0.00102,                 1.3429,                 10.571,                  183.1,                 2.0097,              0.0009258,              0.0009258,              0.0009258
                     11,                 1.4743,                 1.5151,                  3.346,                 1.6894,                0.46711,                    0.5,                0.49902,                0.44862,                0.00308,                  0.125,                0.00266,                0.00102,                 1.3429,                 10.571,                  183.1,                 2.0097,             0.00097169,             0.00097169,             0.00097169
